
Found 659 roles matching your search:

 Name                                              Description
 juwai.php-zerorpc                                 Install zerorpc dependency packages for php
 KAMI911.ansible_role_php                          PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 kidou-codes.php71                                 K.K.Kidou PHP Version 7.1
 kilerkarol.php-fpm                                Role install and configure php-fpm.
 kleinstuff.ansible_role_newrelic_phpagent         Role to setup NewRelic PHP Agetn on RHEL/CentOS
 kleinstuff.centos-phpfpm                          Role to install and configure php-fpm on el7
 kosssi.php                                        Install and Configure PHP
 kosssi.phpstorm                                   Install phpStorm.
 kotarella1110.php                                 PHP for RedHat/CentOS/Debian/Ubuntu.
 kurron.php-developer                              PHP IDE and command-line tools.
 labpositiva.php                                   This Ansible Role infuses antigravity, you are warned
 onebithq.php5-fpm                                 this ansible role manage installation and configuration of php5-fpm. Inspired from https://github.com/cocoy/ansible-playbooks
 LaneCommunityCollege.aspects_php                  Install and configure php, php-cli, apache mod_php, and pecl libraries.
 leafnode.php5                                     role for php5
 leafnode.php7                                     role for php7
 leafnode.php_fpm                                  role for php fpm
 lesmyrmidons.php                                  PHP for RedHat/CentOS/Debian/Ubuntu.
 leventyalcin.php7                                 Install and configure PHP7
 lifeofguenter.php5-cli                            Install PHP5 (cli)
 lifeofguenter.php5-fpm                            Install PHP5 (fpm)
 lifeofguenter.php7-cli                            Installs PHP7.1 (cli)
 lifeofguenter.php7-fpm                            Installs PHP7.1 (fpm)
 lpcanh.centos7-php                                Instann php56w-fpm, php56w-cli, php56w-common, php56w-gd, php56w-mbstring, php56w-mcrypt, php56w-mysql, php56w-opcache, php56w-pdo, php56w-xml
 lukasic.php                                       Debian/Ubuntu multi-php role
 lukasz-zaroda.php-fpm                             PHP-FPM installation, configuration, and easy pool management for both PHP 5 and PHP 7 versions.
 Lusitaniae.ansible_php5_newrelic                  Installs New Relic PHP agent
 ansibleRoles.php                                  A php role
 macklus.php                                       Ondrej PHP - multiple PHP versions ppa
 manala.php                                        Handle php
 manala.phpmyadmin                                 Handle phpmyadmin
 manala.phppgadmin                                 Handle phppgadmin
 manala.phpredisadmin                              Handle phpredisadmin
 manishjuneja.php                                  PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 marcofabricio.php-scl                             Ansible role to install PHP Software Collections on CentOS
 markushartman.php5-xdebug                         PHP XDebug for Vagrant
 markushartman.phpstorm                            PhpStorm
 markwilde.php                                     An Ansible role for installing PHP.
 markwilde.php-amqp                                An Ansible role for installing AMQP module for PHP.
 markwilde.php-common                              An Ansible role for installing Common module for PHP.
 markwilde.php-devel                               An Ansible role for installing development files for PHP.
 markwilde.php-gd                                  An Ansible role for installing GD module for PHP.
 markwilde.php-imagick                             An Ansible role for installing Imagick module for PHP.
 markwilde.php-mcrypt                              An Ansible role for installing MCrypt module for PHP.
 markwilde.php-memcache                            An Ansible role for installing Memcache module for PHP.
 markwilde.php-mongo                               An Ansible role for installing MongoDB module for PHP.
 markwilde.php-mysql                               An Ansible role for installing MySQL module for PHP.
 markwilde.php-newrelic                            An Ansible role for installing New Relic module for PHP.
 markwilde.php-pear                                An Ansible role for installing PEAR package for PHP.
 mats116.php5-fpm                                  php5-fpm installer
 MatthewMi11er.newrelic-php                        An Ansible role for configuring New Relic PHP agent on Ubuntu Trusty. Based on code originally by (Mark Janssen, Dieter Provoost, Yosh de Vos)
 MatthewMi11er.php                                 A role to configure php
 mbaran0v.ansible_role_php                         PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 mbaran0v.ansible_role_prometheus_php_fpm_exporter Prometheus PHP-FPM Exporter https://github.com/bakins/php-fpm-exporter
 mbocquet.php-fpm                                  Ansible role to install and configure PHP-FPM (FastCGI Process Manager).
 mcampbell508.phpstorm                             Install the latest available version of PhpStorm, automatically.
 plumelo.php                                       Ansible role to install PHP
 mejo-.php-composer                                Install PHP Composer from source on Debian
 melnikoved.php7                                   Install php7 to Centos6
 memoryleak.php                                    A role to install and manage PHP.
 MichaelRigart.php                                 An ansible role for installing and configuring PHP.
 mjanser.php                                       Installs PHP in various versions
 mkoprek.phpfpm                                    Role for install PHP / PHPFPM
 mm0.php-code-sniffer                              Install PHP_CodeSniffer via PEAR
 mm0.php-composer                                  An Ansible role that installs and configures PHP Composer
 mm0.php-xdebug                                    PHP XDebug for Linux
 monsieurbiz.geerlingguy_php                       PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 mosufy.php-memcached                              Install PHP Memcached
 mrlesmithjr.php                                   Ansible role to install PHP Packages
 mrlesmithjr.phpipam                               Ansible role to install/configure phpIPAM
 msherron.php-debian-lucid                         PHP for RedHat/CentOS/Debian/Ubuntu.
 mstantoncook.php                                  PHP for RedHat/CentOS/Debian/Ubuntu.
 mstantoncook.php-memcached                        PHP Memcached support for Linux
 mstantoncook.php-mysql                            PHP MySQL support for RedHat/CentOS and Debian/Ubuntu
 mstantoncook.php-pecl                             PHP PECL extension installation.
 mstantoncook.php-xdebug                           PHP XDebug for Linux
 mstantoncook.php-xhprof                           PHP XHProf for Linux
 nabello.install_pecl_php_extension                Ansible galaxy role to install PECL php extensions.
 nabello.install_php                               Ansible galaxy role to install php.
 naijavijayank.php                                 Role to setup php
 nathanielks.newrelic-php                          An Ansible role for configuring New Relic PHP agent on Ubuntu Trusty
 NBZ4live.php_fpm                                  Ansible role for installing and configuring php-fpm
 nesh-younify.ansible-role-php                     PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 net2grid.php                                      PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 net2grid.php-mysql                                PHP MySQL support for Linux.
 net2grid.php-pear                                 PHP PEAR library installation.
 net2grid.php-pecl                                 PHP PECL extension installation.
 net2grid.php-xdebug                               PHP XDebug for Linux
 nickjj.phpfpm                                     Install and configure php-fpm.
 NickWilde1990.php-brotli                          Build and install PHP Brotli extension
 nishiki.phpfpm                                    Install and configure PHP-FPM
 nixmomo.php5-fpm-apache2                          configures php5-fpm + apache2
 nleutner.newrelic-php                             New Relic PHP Agent role / Application monitoring for RHEL/CentOS, Ubuntu, Debian
 nobirocky.php_support                             your role description
 nobreach.php                                      your description
 nobreach.php_handlers                             your description
 novuso.php-cli                                    PHP CLI for Ubuntu 14.04
 novuso.php-ext                                    PHP Extensions for Ubuntu 14.04
 novuso.php-fpm                                    PHP FPM for Ubuntu 14.04
 novuso.phpmyadmin                                 phpMyAdmin for Ubuntu 14.04
 nycrecords.php                                    PHP for RedHat/CentOS/Fedora/Debian/Ubuntu.
 Oefenweb.php_56_cli                               Set up PHP 5.6 Cli in Ubuntu systems
 Oefenweb.php_cli_ondrej                           Set up PHP Cli in Ubuntu systems (using Ondřej Surý's ppa)
 Oefenweb.phpmemcachedadmin                        Set up phpMemcachedAdmin (Memcached server admin in php for monitoring and debugging)
 Oefenweb.phpredis                                 Set up PhpRedis in Debian-like systems
 Oefenweb.phpstorm                                 Set up PhpStorm
 offtechnologies.phpvirtualbox                     Headless Virtualbox and phpVirtualbox on Ubuntu Server
 oktapodia.phpunit                                 PHPUnit - The PHP Testing Framework
 ontic.php                                         This role installs PHP on RedHat/CentOS and Debian/Ubuntu Linux servers.
 openapphack.php                                   PHP for Debian/Ubuntu.
 openapphack.php-mysql                             PHP MySQL support for Debian/Ubuntu
 opichon.docker_phpmyadmin                         Install phpmyadmin as a docker container
 opsta.php                                         Ansible role to install PHP
 pabloguerino.php7                                 PHP7 (with fpm) on Debian
 panickervinod.openapphack-php                     PHP for Debian/Ubuntu.
 panickervinod.openapphack-php-memcached           PHP Memcached support for Linux
 panickervinod.openapphack-php-mysql               PHP MySQL support for Debian/Ubuntu
 panickervinod.openapphack-php-pecl                PHP PECL extension installation.
 panickervinod.openapphack-php-xdebug              PHP XDebug for Linux
 panickervinod.openapphack-php-xhprof              PHP XHProf for Linux
 paulthed.php                                      PHP for RedHat/CentOS/Debian/Ubuntu.
 paulthed.php-memcached                            PHP Memcached support for Linux
 paulthed.phpmyadmin                               PHPMyAdmin installation for Linux
 paulthed.php-mysql                                PHP MySQL support for RedHat/CentOS/Debian/Ubuntu
 paulthed.php-pecl                                 PHP PECL extension installation.
 paulthed.php-xdebug                               PHP XDebug for Linux
 paulthed.php-xhprof                               PHP XHProf for Linux
 FloeDesignTechnologies.php-cli                    Ansible role to install PHP Cli.
 FloeDesignTechnologies.php-pear                   Install PEAR and PEAR packages.
 FloeDesignTechnologies.php-pecl                   PHP PECL extension installation.
 personnage.php                                    PHP for RedHat/CentOS/Debian/Ubuntu.
 personnage.php-memcache                           PHP Memcache support for Linux
 personnage.php-mysql                              PHP MySQL support for RedHat/CentOS and Debian/Ubuntu.
 phansible.php                                     An Ansible Role that installs PHP on Ubuntu specifically created with Phansible in mind.
 phizzl.php                                        PHP for Ubuntu/Debian.
 phizzl.phpartifact                                Role to generate artifacts for PHP applications
 phoenixgao.php                                    Install PHP
 php-coder.jetty                                   Installs Jetty web-server from tarball
 php-coder.nginx                                   Installs stable nginx version from repository at nginx.org
 php-coder.oraclejdk                               Installs OracleJDK from WebUpd8 team's PPA
 php-telegram-bot.php-telegram-bot                 Install and run PHP Telegram Bots.
 phuysmans.php                                     
 pixelart.phpstorm                                 Installs Jetbrains PhpStorm
 pixelfusion.php7                                  php7 role
 pkorobeinikov.php                                 PHP installation.
 pkorobeinikov.php-xdebug                          PHP Xdebug installation.
 plumelo.ansible_role_php_fpm                      Ansible role for installing and configuring php-fpm
 praseodym.newrelic-php                            New Relic PHP agent
 purplenetwork.php                                 Install one specific or more Php versions
 purplenetwork.phpmyadmin                          PhpMyAdmin
 pylabs.php                                        Install php packages
 pylabs.php_fpmapps                                Setup multi php fpm apps
 qianka.php-fpm                                    (an ansible role) install php-fpm
 radamanth.php5-ansible                            Small role to install php5
 ramiroto.php                                      Role for installing PHP
 raptas.php                                        This role will install and configure php
